BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2458040.37281959	0.977386	0.003120	2.687376	564.501449	2458040.367025	616908.516183	556.612961	535.750683	5.664267
2458040.37422053	0.982338	0.003314	2.645279	565.205521	2458040.368426	614957.14285	556.770701	535.708462	5.963289
2458040.37560946	0.976827	0.003188	2.604834	563.816327	2458040.369815	617312.084913	556.813783	535.805408	5.871426
2458040.37700940	0.985578	0.003339	2.565311	563.557377	2458040.371215	613331.362172	556.922428	535.935978	6.04628
2458040.37841033	0.971934	0.003198	2.526998	565.12963	2458040.372616	615749.43667	557.054504	535.835683	5.897342
2458040.37979927	0.976009	0.003094	2.490146	561.718391	2458040.374005	617275.97626	557.4639	535.894389	5.555087
2458040.38119920	0.970275	0.003092	2.454092	559.482014	2458040.375405	615266.734876	557.644255	536.121077	5.547471
2458040.38258813	0.974262	0.003092	2.419387	564.0000	2458040.376794	613967.866317	557.996425	536.070398	5.554138
2458040.38398807	0.970024	0.003002	2.385411	561.580745	2458040.378194	618388.048891	557.806412	535.671029	5.312734
2458040.38537700	0.971510	0.002979	2.352683	558.933934	2458040.379583	617466.618403	558.193903	535.514766	5.268393
2458040.38677794	0.970799	0.003123	2.320620	561.258258	2458040.380984	612041.405238	558.112522	535.989498	5.602005
2458040.38816687	0.968312	0.002885	2.289716	559.110759	2458040.382373	618985.1224	558.41992	535.621624	4.918677
2458040.38956681	0.965635	0.002921	2.259421	557.511834	2458040.383773	618479.979374	558.467146	535.556993	5.161576
2458040.39096774	0.973992	0.002949	2.229962	557.714286	2458040.385174	615450.763067	558.51497	535.503748	5.212613
2458040.39235668	0.967919	0.003178	2.201542	563.514107	2458040.386563	612764.881662	558.595528	535.516107	5.823636
2458040.39375661	0.965438	0.003182	2.173657	580.145773	2458040.387963	609326.929398	558.825826	535.765912	5.692462
2458040.39514554	0.964655	0.003024	2.146740	581.302594	2458040.389352	610076.70904	558.856973	535.183816	5.312425
2458040.39654548	0.973360	0.003127	2.120315	577.925926	2458040.390752	609240.465329	559.049978	535.185145	5.370467
2458040.39793441	0.971582	0.003006	2.094793	580.526471	2458040.392141	610042.806042	558.664476	535.054259	5.154979
2458040.39933535	0.964345	0.002931	2.069725	588.635057	2458040.393542	610049.912224	559.574053	534.982417	4.94293
